season,ep_no,ep_title,ep_rating
1,1,Simpsons Roasting on an Open Fire,8.1
1,2,Bart the Genius,7.7
1,3,Homer's Odyssey,7.3
1,4,There's No Disgrace Like Home,7.7
1,5,Bart the General,7.9
1,6,Moaning Lisa,7.6
1,7,The Call of the Simpsons,7.7
1,8,The Telltale Head,7.6
1,9,Life on the Fast Lane,7.4
1,10,Homer's Night Out,7.3
1,11,The Crepes of Wrath,7.7
1,12,Krusty Gets Busted,8.3
1,13,Some Enchanted Evening,7.7
2,1,Bart Gets an F,8.2
2,2,Simpson and Delilah,8.2
2,3,Treehouse of Horror,8.2
2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8
2,5,Dancin' Homer,7.3
2,6,Dead Putting Society,7.9
2,7,Bart vs. Thanksgiving,7.7
2,8,Bart the Daredevil,8.3
2,9,Itchy & Scratchy & Marge,8.1
2,10,Bart Gets Hit by a Car,7.7
2,11,"One Fish, Two Fish, Blowfish, Blue Fish",8.8
2,12,The Way We Was,8.2
2,13,Homer vs. Lisa and the 8th Commandment,8
2,14,Principal Charming,7.4
2,15,"Oh Brother, Where Art Thou?",8.3
2,16,Bart's Dog Gets an F,7.4
2,17,Old Money,7.6
2,18,Brush with Greatness,7.9
2,19,Lisa's Substitute,8.6
2,20,The War of the Simpsons,7.8
2,21,Three Men and a Comic Book,8.3
2,22,Blood Feud,7.8
3,1,Stark Raving Dad,8.6
3,2,Mr. Lisa Goes to Washington,7.7
3,3,When Flanders Failed,8.2
3,4,Bart the Murderer,8.6
3,5,Homer Defined,8.4
3,6,"Like Father, Like Clown",7.6
3,7,Treehouse of Horror II,8.2
3,8,Lisa's Pony,7.9
3,9,Saturdays of Thunder,7.9
3,10,Flaming Moe's,8.8
3,11,Burns Verkaufen der Kraftwerk,8.2
3,12,I Married Marge,8.3
3,13,Radio Bart,8.5
3,14,Lisa the Greek,8
3,15,Homer Alone,8
3,16,Bart the Lover,8.3
3,17,Homer at the Bat,8.7
3,18,Separate Vocations,8.2
3,19,Dog of Death,7.7
3,20,Colonel Homer,8
3,21,Black Widower,8.3
3,22,The Otto Show,7.7
3,23,Bart's Friend Falls in Love,7.7
3,24,"Brother, Can You Spare Two Dimes?",8.2
4,1,Kamp Krusty,8.5
4,2,A Streetcar Named Marge,8.1
4,3,Homer the Heretic,8.9
4,4,Lisa the Beauty Queen,7.7
4,5,Treehouse of Horror III,8.4
4,6,Itchy & Scratchy: The Movie,8.2
4,7,Marge Gets a Job,7.8
4,8,New Kid on the Block,8.2
4,9,Mr. Plow,8.8
4,10,Lisa's First Word,8.7
4,11,Homer's Triple Bypass,8.6
4,12,Marge vs. the Monorail,9.1
4,13,Selma's Choice,8
4,14,Brother from the Same Planet,8.1
4,15,I Love Lisa,8.4
4,16,Duffless,8.3
4,17,Last Exit to Springfield,9
4,18,So It's Come to This: A Simpsons Clip Show,7
4,19,The Front,8.1
4,20,Whacking Day,8.1
4,21,Marge in Chains,7.7
4,22,Krusty Gets Kancelled,8.1
5,1,Homer's Barbershop Quartet,8.5
5,2,Cape Feare,9.2
5,3,Homer Goes to College,8.6
5,4,Rosebud,8.8
5,5,Treehouse of Horror IV,8.8
5,6,Marge on the Lam,8
5,7,Bart's Inner Child,7.6
5,8,Boy Scoutz 'n the Hood,8.6
5,9,The Last Temptation of Homer,8.5
5,10,"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",8.6
5,11,Homer the Vigilante,8.2
5,12,Bart Gets Famous,8.1
5,13,Homer and Apu,8.2
